"";"Anarchism";"Antisemitism";"Capitalism";"Christianity";"Communism";"Conservatism";"Democracy";"Fascism";"Feminism";"Islamophobia";"Left-wing politics";"Liberalism";"Marxism";"Nationalism";"Neo-Nazism";"Protestantism";"Right-wing politics";"Secularism";"Socialism";"White supremacy"
"Jeff Sessions (R)";"Jeff Sessions>United States Attorney General>Thomas Jefferson>Anarchism";"Jeff Sessions>Bible>Antisemitism";"Jeff Sessions>George H. W. Bush>Capitalism";"Jeff Sessions>Alabama>Christianity";"Jeff Sessions>American Civil Liberties Union>Communism";"Jeff Sessions>Natural Law Party>Conservatism";"Jeff Sessions>American Civil War>Abraham Lincoln>Democracy";"Jeff Sessions>George H. W. Bush>Fascism";"Jeff Sessions>Hate crime>Feminism";"Jeff Sessions>Hate crime>Islamophobia";"Jeff Sessions>Ku Klux Klan>Left-wing politics";"Jeff Sessions>Capital punishment>Albert Camus>Liberalism";"Jeff Sessions>Donald Trump>Screen Actors Guild>Marxism";"Jeff Sessions>United States Attorney General>Thomas Jefferson>Nationalism";"Jeff Sessions>American Civil Liberties Union>Neo-Nazism";"Jeff Sessions>Bible>Protestantism";"Jeff Sessions>Natural Law Party>Right-wing politics";"Jeff Sessions>Capital punishment>Azerbaijan>Secularism";"Jeff Sessions>Natural Law Party>Socialism";"Jeff Sessions>George H. W. Bush>White supremacy"
"Richard Shelby (R)";"Richard Shelby>Libertarian Party (United States)>Anarchism";"Richard Shelby>Al-Qaeda>Antisemitism";"Richard Shelby>Ronald Reagan>Capitalism";"Richard Shelby>Alabama>Christianity";"Richard Shelby>American Civil Liberties Union>Communism";"Richard Shelby>Republican Party (United States)>Conservatism";"Richard Shelby>Alabama>American Revolution>Democracy";"Richard Shelby>Ronald Reagan>Fascism";"Richard Shelby>Roe v. Wade>Feminism";"Richard Shelby>Al-Qaeda>Islamophobia";"Richard Shelby>Ronald Reagan>Left-wing politics";"Richard Shelby>Alabama>American Revolution>Liberalism";"Richard Shelby>Al-Qaeda>Marxism";"Richard Shelby>Alabama>World War II>Nationalism";"Richard Shelby>American Civil Liberties Union>Neo-Nazism";"Richard Shelby>Alabama>African Americans>Protestantism";"Richard Shelby>Ronald Reagan>Right-wing politics";"Richard Shelby>Alabama>American Revolution>Secularism";"Richard Shelby>Alabama>Christianity>Socialism";"Richard Shelby>Ronald Reagan>White supremacy"
"Mark Begich (D)";"Mark Begich>Alaska>Libertarian Party (United States)>Anarchism";"Mark Begich>Austria-Hungary>Antisemitism";"Mark Begich>Austria-Hungary>Capitalism";"Mark Begich>Alaska>Christianity";"Mark Begich>Alaska>Russia>Communism";"Mark Begich>Republican Party (United States)>Conservatism";"Mark Begich>Alaska>Separation of powers>Democracy";"Mark Begich>Republican Party (United States)>Fascism";"Mark Begich>Alaska>Jewel (singer)>Feminism";"Mark Begich>Alaska>Muslim>Islamophobia";"Mark Begich>Alaska>British Columbia>Left-wing politics";"Mark Begich>Alaska>Christianity>Liberalism";"Mark Begich>Alaska>Russian Orthodox Church>Marxism";"Mark Begich>Alaska>Indo-European languages>Nationalism";"Mark Begich>Alaska>List of political parties in the United States>Neo-Nazism";"Mark Begich>Austria-Hungary>Protestantism";"Mark Begich>Republican Party (United States)>Right-wing politics";"Mark Begich>Alaska>Sikhism>Secularism";"Mark Begich>Croatia>Socialism";"Mark Begich>Alaska>Southern Baptist Convention>White supremacy"
"Lisa Murkowski (R)";"Lisa Murkowski>Libertarian Party (United States)>Anarchism";"Lisa Murkowski>The New York Times>Antisemitism";"Lisa Murkowski>Economics>Capitalism";"Lisa Murkowski>Alaska>Christianity";"Lisa Murkowski>Alaska>Russia>Communism";"Lisa Murkowski>Republican Party (United States)>Conservatism";"Lisa Murkowski>Alaska>Separation of powers>Democracy";"Lisa Murkowski>Republican Party (United States)>Fascism";"Lisa Murkowski>Roe v. Wade>Feminism";"Lisa Murkowski>Nepotism>Islamophobia";"Lisa Murkowski>Alaska>British Columbia>Left-wing politics";"Lisa Murkowski>Alaska>Christianity>Liberalism";"Lisa Murkowski>Alaska>Russian Orthodox Church>Marxism";"Lisa Murkowski>Alaska>Indo-European languages>Nationalism";"Lisa Murkowski>Alaska>List of political parties in the United States>Neo-Nazism";"Lisa Murkowski>Alaska>British Columbia>Protestantism";"Lisa Murkowski>Republican Party (United States)>Right-wing politics";"Lisa Murkowski>Alaska>Sikhism>Secularism";"Lisa Murkowski>Alaska>British Columbia>Socialism";"Lisa Murkowski>Alaska>Southern Baptist Convention>White supremacy"
"Jon Kyl (R)";"Jon Kyl>Libertarian Party (United States)>Anarchism";"Jon Kyl>Arizona>Steven Spielberg>Antisemitism";"Jon Kyl>Arizona>Valentine's Day>Capitalism";"Jon Kyl>Arizona>Europe>Christianity";"Jon Kyl>Arizona>Europe>Communism";"Jon Kyl>Supreme Court of the United States>Conservatism";"Jon Kyl>Arizona>Commonwealth>Democracy";"Jon Kyl>Republican Party (United States)>Fascism";"Jon Kyl>John McCain>Pat Robertson>Feminism";"Jon Kyl>Arizona>Muslim>Islamophobia";"Jon Kyl>Arizona>Ronald Reagan>Left-wing politics";"Jon Kyl>Supreme Court of the United States>Liberalism";"Jon Kyl>Arizona>Mexican Revolution>Marxism";"Jon Kyl>Arizona>Abraham Lincoln>Nationalism";"Jon Kyl>Arizona>American Civil Liberties Union>Neo-Nazism";"Jon Kyl>Arizona>California>Protestantism";"Jon Kyl>Republican Party (United States)>Right-wing politics";"Jon Kyl>Arizona>Europe>Secularism";"Jon Kyl>Doug Ducey>School voucher>Socialism";"Jon Kyl>Trent Lott>White supremacy"
"John McCain (R)";"John McCain>Barry Goldwater>Anarchism";"John McCain>William F. Buckley Jr.>Antisemitism";"John McCain>George H. W. Bush>Capitalism";"John McCain>Bangladesh>Christianity";"John McCain>Dwight D. Eisenhower>Communism";"John McCain>Barry Goldwater>Conservatism";"John McCain>Colin Powell>Democracy";"John McCain>Pat Robertson>Fascism";"John McCain>Pat Robertson>Feminism";"John McCain>Bangladesh>Islamophobia";"John McCain>Kosovo War>Left-wing politics";"John McCain>Media bias>Liberalism";"John McCain>China>Marxism";"John McCain>Kosovo War>Nationalism";"John McCain>Bashar al-Assad>Neo-Nazism";"John McCain>Jerry Falwell>Protestantism";"John McCain>Contras>Right-wing politics";"John McCain>Bangladesh>Secularism";"John McCain>Bangladesh>Socialism";"John McCain>George H. W. Bush>White supremacy"
"Mark Pryor (D)";"Mark Pryor>Tom Cotton>Nationalism>Anarchism";"Mark Pryor>Arkansas>Slavery>Antisemitism";"Mark Pryor>Arkansas>NATO>Capitalism";"Mark Pryor>Arkansas>Autumn>Christianity";"Mark Pryor>Arkansas>NATO>Communism";"Mark Pryor>Republican Party (United States)>Conservatism";"Mark Pryor>Arkansas>Abraham Lincoln>Democracy";"Mark Pryor>Republican Party (United States)>Fascism";"Mark Pryor>Arkansas>Slavery>Feminism";"Mark Pryor>Arkansas>Slavery>Islamophobia";"Mark Pryor>Arkansas>World War II>Left-wing politics";"Mark Pryor>Arkansas>Supreme Court of the United States>Liberalism";"Mark Pryor>Tom Cotton>China>Marxism";"Mark Pryor>Arkansas>World War II>Nationalism";"Mark Pryor>Arkansas>Ku Klux Klan>Neo-Nazism";"Mark Pryor>Arkansas>Protestantism";"Mark Pryor>Republican Party (United States)>Right-wing politics";"Mark Pryor>Arkansas>Spain>Secularism";"Mark Pryor>Tom Cotton>North Korea>Socialism";"Mark Pryor>Arkansas>Asa Hutchinson>White supremacy"
"John Boozman (R)";"John Boozman>Tom Cotton>Nationalism>Anarchism";"John Boozman>Hate crime>Antisemitism";"John Boozman>Human rights>Capitalism";"John Boozman>Arkansas>Autumn>Christianity";"John Boozman>Arkansas>NATO>Communism";"John Boozman>Republican Party (United States)>Conservatism";"John Boozman>Arkansas>Abraham Lincoln>Democracy";"John Boozman>Republican Party (United States)>Fascism";"John Boozman>Hate crime>Feminism";"John Boozman>Hate crime>Islamophobia";"John Boozman>Arkansas>World War II>Left-wing politics";"John Boozman>Human rights>Liberalism";"John Boozman>Tom Cotton>China>Marxism";"John Boozman>Arkansas>World War II>Nationalism";"John Boozman>Arkansas>Ku Klux Klan>Neo-Nazism";"John Boozman>Arkansas>Protestantism";"John Boozman>Republican Party (United States)>Right-wing politics";"John Boozman>Human rights>Secularism";"John Boozman>Human rights>Socialism";"John Boozman>Hate crime>White supremacy"
"Dianne Feinstein (D)";"Dianne Feinstein>California>Hippie>Anarchism";"Dianne Feinstein>The New York Times>Antisemitism";"Dianne Feinstein>Jimmy Carter>Capitalism";"Dianne Feinstein>California>Alaska>Christianity";"Dianne Feinstein>Jimmy Carter>Communism";"Dianne Feinstein>Republican Party (United States)>Conservatism";"Dianne Feinstein>California>India>Democracy";"Dianne Feinstein>Jimmy Carter>Fascism";"Dianne Feinstein>California>Internet>Feminism";"Dianne Feinstein>California>Gerrymandering>Islamophobia";"Dianne Feinstein>California>World War II>Left-wing politics";"Dianne Feinstein>California>British people>Liberalism";"Dianne Feinstein>China>Marxism";"Dianne Feinstein>Pale of Settlement>Nationalism";"Dianne Feinstein>Pale of Settlement>Neo-Nazism";"Dianne Feinstein>California>Protestantism";"Dianne Feinstein>Republican Party (United States)>Right-wing politics";"Dianne Feinstein>California>Missionary>Secularism";"Dianne Feinstein>China>Socialism";"Dianne Feinstein>Jimmy Carter>White supremacy"
"Barbara Boxer (D)";"Barbara Boxer>California>Hippie>Anarchism";"Barbara Boxer>The New York Times>Antisemitism";"Barbara Boxer>Afghanistan>Capitalism";"Barbara Boxer>American Civil Liberties Union>Alabama>Christianity";"Barbara Boxer>Afghanistan>Communism";"Barbara Boxer>Republican Party (United States)>Conservatism";"Barbara Boxer>Associate Justice of the Supreme Court of the United States>Abraham Lincoln>Democracy";"Barbara Boxer>Afghanistan>Fascism";"Barbara Boxer>California>Internet>Feminism";"Barbara Boxer>Taliban>Islamophobia";"Barbara Boxer>Ronald Reagan>Left-wing politics";"Barbara Boxer>California>British people>Liberalism";"Barbara Boxer>California>China>Marxism";"Barbara Boxer>Afghanistan>Nationalism";"Barbara Boxer>American Civil Liberties Union>Neo-Nazism";"Barbara Boxer>California>Protestantism";"Barbara Boxer>Ronald Reagan>Right-wing politics";"Barbara Boxer>Ariel Sharon>Secularism";"Barbara Boxer>Ohio>Astronaut>Socialism";"Barbara Boxer>Afghanistan>White supremacy"
