subject;predicate;object;score
Morris S. Miller;/people/person/place_of_birth;New York City;5
Emmanuel Scheffer;/people/person/place_of_birth;Germany;5
Jack Curtner;/people/person/place_of_birth;Greenville;5
Juan Laporte;/people/person/place_of_birth;Guayama;5
Muhammad Tulaimat;/people/person/place_of_birth;Homs;-3
Vanessa Chinitor;/people/person/place_of_birth;Dendermonde;5
Angus Mackay (historian);/people/person/place_of_birth;Lima;5
John Milne Bramwell;/people/person/place_of_birth;Perth;5
Rosabelle Sinclair;/people/person/place_of_birth;Russia;5
Juan Bautista de Lezana;/people/person/place_of_birth;Madrid;5
Juraj Njavro;/people/person/place_of_birth;Neum;-5
Samuel Argent Bardsley;/people/person/place_of_birth;Kelvedon;5
Miho Iwata;/people/person/place_of_birth;Ichinomiya;-3
Ana Luiza Nobre;/people/person/place_of_birth;Rio de Janeiro;5
Eric Ash;/people/person/place_of_birth;Berlin;5
Giorgio Gomelsky;/people/person/place_of_birth;Marquee Club;-5
Adam Mohuczy;/people/person/place_of_birth;Vitebsk;5
Morris Bear Squire;/people/person/place_of_birth;Chicago;5
Dennis Conta;/people/person/place_of_birth;Milwaukee;5
Amos Biwott;/people/person/place_of_birth;Nandi people;-1
Carol Townend;/people/person/place_of_birth;Harrogate;5
J. J. Stevenson;/people/person/place_of_birth;Glasgow;5
Celestino Sfondrati;/people/person/place_of_birth;Milan;5
Leon Polk Smith;/people/person/place_of_birth;Chickasha;-3
Patrick Thomas Stone;/people/person/place_of_birth;Pembroke;5
Isaac Passy;/people/person/place_of_birth;Plovdiv;5
Jonny Restrick;/people/person/place_of_birth;Northern Ireland;5
Hermann Wilbrand;/people/person/place_of_birth;Gießen;5
William Bayly;/people/person/place_of_birth;Bishops Cannings;5
Boso Breakspeare;/people/person/place_of_birth;Lucca;-5
Chu Fujia;/people/person/place_of_birth;Jiangsu;5
Peretz Smolenskin;/people/person/place_of_birth;Mogilyov;-5
Alex Halberstadt;/people/person/place_of_birth;Moscow;5
Jocelyne Binet;/people/person/place_of_birth;Sherbrooke;-5
Hellmuth Christian Wolff;/people/person/place_of_birth;Zürich;5
Ad Bol;/people/person/place_of_birth;Roosendaal;5
William Fogerty;/people/person/place_of_birth;Limerick;3
Elmer A. Morse;/people/person/place_of_birth;Franksville;5
Laurence Lampert;/people/person/place_of_birth;Winnipeg;5
Ashley Gilbertson;/people/person/place_of_birth;Australia;5
Rudolph Lexow;/people/person/place_of_birth;Tönning;5
Huang Haiyang;/people/person/place_of_birth;Xuzhou;5
Che Arthur;/people/person/place_of_birth;Mobile;5
Linda Crockett;/people/person/place_of_birth;Hamilton;5
Mark Robinson (footballer born 1968);/people/person/place_of_birth;Rochdale;5
Olga Taratuta;/people/person/place_of_birth;Kherson;-5
Francisco de Osuna;/people/person/place_of_birth;Seville;5
Raymond Garneau;/people/person/place_of_birth;Plessisville;5
Thomas Walkington;/people/person/place_of_birth;Lincoln;-5
Keenan Smith;/people/person/place_of_birth;Lancaster;-3
Karl Leo;/people/person/place_of_birth;Freiburg im Breisgau;5
Alan Fisher (trade unionist);/people/person/place_of_birth;Birmingham;5
Vilwamangalam Swamiyar;/people/person/place_of_birth;Bengal;-3
Maude Duncan;/people/person/place_of_birth;Virginia;5
Claude Bourgelat;/people/person/place_of_birth;Lyon;5
Morton Estrin;/people/person/place_of_birth;Burlington;5
Domenico Fancelli;/people/person/place_of_birth;Florence;-5
Keppel Harcourt Barnard;/people/person/place_of_birth;London;5
